symbol,organ_name
HPI,CTCP Khu công nghiệp Hiệp Phước
HPO,CTCP Công nghiệp Hapulico
HPP,CTCP Sơn Hải Phòng
HPT,CTCP Dịch vụ Công nghệ Tin học HPT
HPW,CTCP Cấp nước Hải Phòng
HPX,CTCP Đầu tư Hải Phát
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân
HRB,CTCP Harec Đầu tư và Thương mại
HRC,CTCP Cao su Hòa Bình
HSA,CTCP Hestia
HSG,CTCP Tập đoàn Hoa Sen
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà
HSM,Tổng Công ty cổ phần Dệt may Hà Nội
HSP,CTCP Sơn Tổng hợp Hà Nội
HSV,CTCP Tập đoàn HSV Việt Nam
HT1,CTCP Xi Măng Vicem Hà Tiên
HTC,CTCP Thương mại Hóc Môn
HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO
HTL,CTCP Kỹ thuật và Ô tô Trường Long
HTM,Tổng Công ty Thương mại Hà Nội - CTCP
HTN,CTCP Hưng Thịnh Incons
HTP,CTCP In Sách Giáo khoa Hòa Phát
HTT,CTCP Thương mại Hà Tây
HTV,CTCP Logistics Vicem
HU1,CTCP Đầu tư và Xây dựng HUD1
HU3,CTCP Đầu tư và Xây dựng HUD3
HU4,CTCP Đầu tư và Xây dựng HUD4
HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
HUB,CTCP Xây lắp Thừa Thiên Huế
HUG,Tổng Công ty May Hưng Yên - CTCP
HUT,CTCP Tasco
HVA,CTCP Đầu tư HVA
HVH,CTCP Đầu tư và Công nghệ HVC
HVN,Tổng Công ty Hàng không Việt Nam - CTCP
HVT,CTCP Hóa chất Việt Trì
HVX,CTCP Xi măng VICEM Hải Vân
HWS,CTCP Cấp nước Huế
IBD,CTCP In Tổng hợp Bình Dương
ICC,CTCP Xây dựng Công nghiệp (ICC)
ICF,CTCP Đầu tư Thương mại Thủy sản
ICG,CTCP Xây dựng Sông Hồng
ICI,CTCP Đầu tư và Xây dựng Công nghiệp
ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO
ICT,CTCP Viễn thông - Tin học Bưu điện
IDC,Tổng Công ty IDICO - CTCP
IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI
IDJ,CTCP Đầu tư IDJ Việt Nam
IDP,CTCP Sữa Quốc tế Lof
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc
IFS,CTCP Thực phẩm Quốc tế
IJC,CTCP Phát triển Hạ tầng Kỹ thuật
ILA,CTCP ILA
ILB,CTCP ICD Tân Cảng - Long Bình
ILC,CTCP Hợp tác Lao động với nước ngoài
ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế
IME,CTCP Cơ khí và Xây lắp Công nghiệp
IMP,CTCP Dược phẩm Imexpharm
IN4,CTCP In Số 4
INC,CTCP Tư vấn Đầu tư IDICO
INN,CTCP Bao bì và In Nông nghiệp
IPA,CTCP Tập đoàn Đầu tư I.P.A
IRC,CTCP Cao su Công nghiệp
ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế
ISH,CTCP Thủy điện Srok Phu Miêng IDICO
IST,CTCP ICD Tân Cảng Sóng Thần
ITA,CTCP Đầu tư và Công nghiệp Tân Tạo
ITC,CTCP Đầu tư và Kinh doanh Nhà
ITD,CTCP Công nghệ ITD
ITQ,CTCP Tập đoàn Thiên Quang
ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin
IVS,CTCP Chứng khoán Guotai Haitong (Việt Nam)
JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải
JVC,CTCP Đầu tư Y tế - Dược phẩm Việt Nam
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP
KCB,CTCP Khoáng sản và Luyện kim Cao Bằng - Vimico
KDC,CTCP Tập đoàn KIDO
KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền
KDM,CTCP Tập Đoàn GCL
KGM,CTCP Xuất nhập khẩu Kiên Giang
KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương
KHG,CTCP Tập đoàn Khải Hoàn Land
KHP,CTCP Điện lực Khánh Hòa
KHS,CTCP Kiên Hùng
KHW,CTCP Cấp thoát nước Khánh Hòa
KHX,CTCP Phát hành sách Khánh Hòa
KIP,CTCP K.I.P Việt Nam
KKC,CTCP Tập Đoàn Thành Thái
KLB,Ngân hàng TMCP Kiên Long
KMR,CTCP Mirae
KMT,CTCP Kim khí Miền Trung
KOS,CTCP KOSY
KPF,CTCP Đầu tư tài sản Koji
KSB,CTCP Khoáng sản và Xây dựng Bình Dương
KSD,CTCP Đầu tư DNA
KSF,CTCP Tập đoàn Sunshine
KSQ,CTCP CNC Capital Việt Nam
KST,CTCP KASATI
KSV,Tổng Công ty Khoáng sản TKV - CTCP
KTC,CTCP Thương mại Kiên Giang
KTL,CTCP Kim Khí Thăng Long
KTS,CTCP Đường Kon Tum
KTT,CTCP Tập đoàn Đầu tư KTT
KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ
L10,CTCP Lilama 10
L12,CTCP Licogi 12
L14,CTCP Licogi 14
L18,CTCP Đầu tư và Xây dựng Số 18
L35,CTCP Cơ khí Lắp máy Lilama
L40,CTCP Đầu Tư và Xây dựng 40
L43,CTCP Lilama 45.3
L45,CTCP Lilama 45.1
L61,CTCP Lilama 69-1
L62,CTCP Lilama 69-2
L63,CTCP Lilama 69-3
LAF,CTCP Chế biến hàng Xuất khẩu Long An
LAI,CTCP Đầu Tư Xây dựng Long An IDICO
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao
LAW,CTCP Cấp thoát nước Long An
LBE,CTCP Thương mại và Dịch vụ LVA
LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng
LCD,CTCP Lắp máy - Thí nghiệm Cơ điện
LCG,CTCP Lizen
LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai
LDG,CTCP Đầu tư LDG
LDP,CTCP Dược Lâm Đồng (Ladophar)
LDW,CTCP Cấp thoát nước Lâm Đồng
LEC,CTCP Bất động sản Điện lực Miền Trung
LG9,CTCP Cơ giới và Xây lắp Số 9
LGC,CTCP Đầu tư Cầu đường CII
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng
LHG,CTCP Long Hậu
LIC,Tổng Công ty LICOGI - CTCP
LIG,CTCP Licogi 13
LIX,CTCP Bột Giặt Lix
LKW,CTCP Cấp nước Long Khánh
LLM,Tổng Công ty Lắp máy Việt Nam - CTCP
LM3,CTCP Lilama 3
LM7,CTCP Lilama 7
LM8,CTCP Lilama 18
LMC,CTCP LUMI Holdings
LMH,CTCP Quốc Tế Holding
LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO
LNC,CTCP Lệ Ninh
LO5,CTCP Lilama 5
LPB,Ngân hàng TMCP Lộc Phát Việt Nam
LPT,CTCP Thương mại và Sản xuất Lập Phương Thành
LQN,CTCP Licogi Quảng Ngãi
LSG,CTCP Bất động sản Sài Gòn Vina
LSS,CTCP Mía Đường Lam Sơn
LTC,CTCP Điện nhẹ Viễn Thông
LTG,CTCP Tập đoàn Lộc Trời
LUT,CTCP Đầu tư Xây dựng Lương Tài
M10,Tổng Công ty May 10 - CTCP
MA1,CTCP Thiết bị
MAC,CTCP Tập đoàn Macstar
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng
MBB,Ngân hàng TMCP Quân đội
MBG,CTCP Tập đoàn MBG
MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh
MBS,CTCP Chứng khoán MB
MBT,CTCP Bất động sản cho thuê Minh Bảo Tín
MCC,CTCP Gạch ngói Cao cấp
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm
MCG,CTCP Năng lượng và Bất động sản MCG
MCH,CTCP Hàng tiêu dùng Masan
MCM,CTCP Giống Bò sữa Mộc Châu
MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam
MCP,CTCP In và Bao bì Mỹ Châu
MDA,CTCP Môi trường Đô thị Đông Anh
MDC,CTCP Than Mông Dương - Vinacomin
MDF,CTCP Gỗ MDF VRG - Quảng Trị
MDG,CTCP Miền Đông
MEC,CTCP Cơ khí - Lắp máy Sông Đà
MED,CTCP Dược Trung ương Mediplantex
MEF,CTCP MEINFA
MEL,CTCP Thép Mê Lin
MES,CTCP Cơ điện Công trình
MFS,CTCP Dịch vụ Kỹ thuật Mobifone
MGC,CTCP Địa chất mỏ - TKV
MGG,Tổng Công ty Đức Giang - CTCP
MGR,CTCP Tập đoàn MGROUP
MH3,CTCP Khu Công nghiệp Cao su Bình Long
MHC,CTCP MHC
MHL,CTCP Minh Hữu Liên
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP
MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội
MKP,CTCP Hoá - Dược phẩm Mekophar
MKV,CTCP Dược thú Y Cai Lậy
MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai
MLS,CTCP Chăn nuôi - Mitraco
MML,CTCP Masan MeatLife
MNB,Tổng Công ty May Nhà Bè - CTCP
MND,CTCP Môi trường Nam Định
MPC,CTCP Tập đoàn Thủy sản Minh Phú
MPT,CTCP Tập đoàn MPT
MPY,CTCP Môi trường Đô thị Phú Yên
MQB,CTCP Môi trường và Phát triển Đô thị Quảng Bình
MQN,CTCP Môi trường đô thị Quảng Ngãi
MRF,CTCP Merufa
MSB,Ngân hàng TMCP Hàng hải Việt Nam
MSH,CTCP May Sông Hồng
MSN,CTCP Tập đoàn Masan
MSR,CTCP Masan High-Tech Materials
MST,CTCP Đầu tư MST
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP
MTB,CTCP Môi trường và Công trình Đô thị Thái Bình
MTG,CTCP MT Gas
MTH,CTCP Môi trường Đô thị Hà Đông
MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm
MTP,CTCP Dược Medipharco
MTS,CTCP Vật tư - TKV
MTV,CTCP Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP
MVC,CTCP Vật liệu và Xây dựng Bình Dương
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP
MWG,CTCP Đầu tư Thế giới Di động
MZG,CTCP Miza
NAB,Ngân hàng TMCP Nam Á
NAC,CTCP Tư vấn Xây dựng Tổng hợp
NAF,CTCP Nafoods Group
NAG,CTCP Tập đoàn Nagakawa
NAP,CTCP Cảng Nghệ Tĩnh
NAS,CTCP Dịch vụ Hàng không Sân bay Việt Nam
NAU,CTCP Môi trường và Công trình Đô thị Nghệ An
NAV,CTCP Nam Việt
NAW,CTCP Cấp nước Nghệ An
NBB,CTCP Đầu tư Năm Bảy Bảy
NBC,CTCP Than Núi Béo - Vinacomin
NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc
NBP,CTCP Nhiệt điện Ninh Bình
NBT,CTCP Cấp thoát nước Bến Tre
NBW,CTCP Cấp nước Nhà Bè
NCG,CTCP Đầu tư Anova Agri
NCS,CTCP Suất ăn Hàng không Nội Bài
NCT,CTCP Dịch vụ Hàng hóa Nội Bài
ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2
NDC,CTCP Nam Dược
NDF,CTCP Chế biến Thực phẩm Nông sản xuất khẩu Nam Định
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng
NDP,CTCP Dược phẩm 2/9
NDT,Tổng Công ty cổ phần Dệt May Nam Định
NDW,CTCP Cấp nước Nam Định
NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng
NED,CTCP Đầu tư và Phát triển Điện Tây Bắc
NET,CTCP Bột giặt NET
NFC,CTCP Phân lân Ninh Bình
NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội
NHC,CTCP Gạch ngói Nhị Hiệp
NHD,CTCP Dược phẩm Nam Hà
NHH,CTCP Nhựa Hà Nội
NHT,CTCP Sản xuất và Thương mại Nam Hoa
NHV,CTCP Sức Khỏe Hồi Sinh Việt Nam
NJC,CTCP May Nam Định
NKG,CTCP Thép Nam Kim
NLG,CTCP Đầu tư Nam Long
NLS,CTCP Cấp thoát nước Lạng Sơn
NNC,CTCP Đá Núi Nhỏ
NNT,CTCP Cấp nước Ninh Thuận
NO1,CTCP Tập đoàn 911
NOS,CTCP Vận tải biển và Thương mại Phương Đông
NQB,CTCP Cấp nước Quảng Bình
NQN,CTCP Nước sạch Quảng Ninh
NRC,CTCP Tập đoàn Bất động sản Quốc gia
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam
NSG,CTCP Nhựa Sài Gòn
NSH,CTCP Tập Đoàn Nhôm Sông Hồng Shalumi
NSL,CTCP Cấp nước Sơn La
NSS,CTCP Nông Súc Sản Đồng Nai
NST,CTCP Ngân Sơn
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2
NTC,CTCP Khu Công nghiệp Nam Tân Uyên
NTF,CTCP Dược - Vật tư Y tế Nghệ An
NTH,CTCP Thủy điện Nước Trong
NTL,CTCP Phát triển Đô thị Từ Liêm
NTP,CTCP Nhựa Thiếu niên Tiền Phong
NTT,CTCP Dệt - May Nha Trang
NTW,CTCP Cấp nước Nhơn Trạch
NUE,CTCP Môi trường Đô thị Nha Trang
NVB,Ngân hàng TMCP Quốc Dân
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va
NVP,CTCP Nước sạch Vĩnh Phúc
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay
NWT,CTCP Vận tải Newway
NXT,CTCP Sản xuất và Cung ứng Vật liệu Xây dựng Kon Tum
OCB,Ngân hàng TMCP Phương Đông
OCH,CTCP One Capital Hospitality
ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE
OGC,CTCP Tập đoàn Đại Dương
OIL,Tổng Công ty Dầu Việt Nam - CTCP
ONE,CTCP Công nghệ One
ONW,CTCP Tập đoàn ONW
OPC,CTCP Dược phẩm OPC
ORS,CTCP Chứng khoán Tiên Phong
PAC,CTCP Pin Ắc quy Miền Nam
PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí
PAN,CTCP Tập đoàn PAN
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An
PAS,CTCP Quốc tế Phương Anh
PAT,CTCP Phốt Pho Apatit Việt Nam
PBC,CTCP Dược phẩm Trung ương I - Pharbaco
PBP,CTCP Bao bì Dầu khí Việt Nam
PBT,CTCP Bao bì và Thương mại dầu khí Bình Sơn
PC1,CTCP Tập Đoàn PC1
PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung
PCF,CTCP Cà phê PETEC
PCG,CTCP Đầu tư Phát triển Gas Đô thị
PCH,CTCP Nhựa Picomat
PCM,CTCP Vật liệu Xây dựng Bưu điện
PCT,CTCP Vận tải biển Global Pacific
PDB,CTCP Tập đoàn Đầu tư Din Capital
PDC,CTCP Du lịch Dầu khí Phương Đông
PDN,CTCP Cảng Đồng Nai
PDR,CTCP Phát triển Bất động sản Phát Đạt
PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP
PEN,CTCP Xây lắp III Petrolimex
PEQ,CTCP Thiết bị Xăng dầu Petrolimex
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí
PFL,CTCP Dầu khí Đông Đô
PGB,Ngân hàng TMCP Thịnh vượng và Phát triển
PGC,Tổng Công ty Gas Petrolimex - CTCP
PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex
PGN,CTCP Phụ Gia Nhựa
PGS,CTCP Kinh doanh Khí Miền Nam
PGT,CTCP PGT Holdings
PGV,Tổng Công ty Phát điện 3 - CTCP
PHC,CTCP Xây dựng Phục Hưng Holdings
PHH,CTCP Hồng Hà Việt Nam
PHN,CTCP Pin Hà Nội
PHP,CTCP Cảng Hải Phòng
PHR,CTCP Cao su Phước Hòa
PHS,CTCP Chứng khoán Phú Hưng
PIA,CTCP Tin học Viễn thông Petrolimex
PIC,CTCP Đầu tư Điện lực 3
PID,CTCP Trang Trí Nội Thất Dầu khí
PIS,Tổng Công ty Pisico Bình Định - CTCP
PIT,CTCP Xuất nhập khẩu Petrolimex
PIV,CTCP PIV
PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội
PJS,CTCP Cấp nước Phú Hòa Tân
PJT,CTCP Vận tải Xăng dầu Đường Thủy Petrolimex
PLA,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu
PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP
PLE,CTCP Tư vấn Xây dựng Petrolimex
PLO,CTCP Kho Vận Petec
PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê
PLX,Tập đoàn Xăng Dầu Việt Nam
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc
PMC,CTCP Dược phẩm Dược liệu Pharmedic
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung
PMJ,CTCP Vật tư Bưu Điện
PMP,CTCP Bao bì đạm Phú Mỹ
PMS,CTCP Cơ khí Xăng dầu
PMT,CTCP Viễn thông TELVINA Việt Nam
PMW,CTCP Cấp nước Phú Mỹ
PNC,CTCP Văn hóa Phương Nam
PND,CTCP Xăng dầu Dầu khí Nam Định
PNG,CTCP Thương mại Phú Nhuận
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận
PNP,CTCP Tân Cảng - Phú Hữu
PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận
POB,CTCP Xăng dầu Dầu khí Hưng Yên
POM,CTCP Thép Pomina
POS,CTCP Vận hành và Xây lắp PTSC
POT,CTCP Thiết bị Bưu điện
POV,CTCP Xăng dầu Dầu khí Vũng Áng
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
PPC,CTCP Nhiệt điện Phả Lại
PPE,CTCP Tư vấn đầu tư PP Enterprise
PPH,Tổng Công ty cổ phần Phong Phú
PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương
PPP,CTCP Dược phẩm Phong Phú
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam
PPT,CTCP Petro Times
PPY,CTCP Xăng dầu Dầu khí Phú Yên
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC
PRC,CTCP Logistics Portserco
PRE,Tổng Công ty cổ phần Tái bảo hiểm Hà Nội
PRO,CTCP Procimex Việt Nam
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP
PSB,CTCP Cảng Kỹ thuật PTSC Sao Mai
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn
PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu
PSI,CTCP Chứng khoán Dầu khí
PSL,CTCP Chăn nuôi Phú Sơn
PSN,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa
PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ
PTB,CTCP Phú Tài
PTC,CTCP Đầu Tư Icapital
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh
PTE,CTCP Xi măng Phú Thọ
PTG,CTCP May Xuất khẩu Phan Thiết
PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây
PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện
PTL,CTCP Victory Group
PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM
PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện
PTP,CTCP PTP
PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng
PTT,CTCP Vận tải Dầu khí Đông Dương
PTV,CTCP Thương mại Dầu khí
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh
PV2,CTCP Genea Capital
PVB,CTCP Bọc ống Dầu khí Việt Nam
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí
PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP
PVG,CTCP Kinh doanh LPG Việt Nam
PVH,CTCP Xây lắp Dầu khí Thanh Hóa
PVI,CTCP PVI
PVL,CTCP Địa ốc Dầu khí
PVM,CTCP Máy - Thiết bị Dầu khí
PVO,CTCP Dầu nhờn PV Oil
PVP,CTCP Vận tải Dầu khí Thái Bình Dương
PVR,CTCP Đầu tư PVR Hà Nội
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam
PVT,Tổng Công ty cổ phần Vận tải Dầu khí
PVV,CTCP Vinaconex 39
PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam
PVY,CTCP Chế tạo Giàn khoan Dầu khí
PWA,CTCP Bất động sản Dầu khí
PWS,CTCP Cấp thoát nước Phú Yên
PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn
PXM,CTCP Xây lắp Dầu khí Miền Trung
PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí
QBS,CTCP Xuất nhập khẩu Quảng Bình
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông
QCG,CTCP Quốc Cường Gia Lai
QHD,CTCP Que hàn điện Việt Đức
QHW,CTCP Nước khoáng Quảng Ninh
QNC,CTCP Xi măng và Xây dựng Quảng Ninh
QNP,CTCP Cảng Quy Nhơn
QNS,CTCP Đường Quảng Ngãi
QNT,CTCP Tư vấn và Đầu tư Phát triển Quảng Nam
QNU,CTCP Môi trường Đô thị Quảng Nam
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi
QPH,CTCP Thủy điện Quế Phong
QSP,CTCP Tân Cảng Quy Nhơn
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh
QTC,CTCP Công trình Giao thông Vận tải Quảng Nam
QTP,CTCP Nhiệt điện Quảng Ninh
RAL,CTCP Bóng đèn Phích nước Rạng Đông
RAT,CTCP Vận tải và Thương mại Đường sắt
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su
RCC,CTCP Tổng Công ty Công trình Đường sắt Việt Nam
RCD,CTCP Xây dựng - Địa ốc Cao su
RCL,CTCP Địa ốc Chợ Lớn
REE,CTCP Cơ Điện Lạnh
RGG,CTCP Regal Group
RIC,CTCP Quốc tế Hoàng Gia
RTB,CTCP Cao su Tân Biên
RYG,CTCP Sản xuất và Đầu tư Hoàng Gia
S12,CTCP Sông Đà 12
S4A,CTCP Thủy điện Sê San 4A
S55,CTCP Sông Đà 505
S72,CTCP Sông Đà 7.02
S74,CTCP Sông Đà 7.04
S99,CTCP SCI
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn
SAF,CTCP Lương thực Thực phẩm Safoco
SAL,CTCP Trục vớt Cứu hộ Việt Nam
SAM,CTCP SAM Holdings
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất
SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh
SBA,CTCP Sông Ba
SBB,CTCP Tập đoàn Bia Sài Gòn - Bình Tây
SBD,CTCP Công nghệ Sao Bắc Đẩu
SBG,CTCP Tập đoàn Cơ khí Công nghệ cao Siba
SBH,CTCP Thủy điện Sông Ba Hạ
SBL,CTCP Bia Sài Gòn - Bạc Liêu
SBM,CTCP Đầu tư Phát triển Bắc Minh
SBR,CTCP Cao su Sông Bé
SBS,CTCP Chứng khoán SBS
SBT,CTCP Thành Thành Công - Biên Hòa
SBV,CTCP Siam Brothers Việt Nam
SC5,CTCP Xây dựng Số 5
SCC,CTCP Thương mại Đầu tư SHB
SCD,CTCP Nước giải khát Chương Dương
SCG,CTCP Tập đoàn Xây dựng SCG
SCI,CTCP SCI E&C
SCJ,CTCP Xi măng Sài Sơn
SCL,CTCP Sông Đà Cao Cường
SCO,CTCP Công nghiệp Thủy sản
SCR,CTCP Địa ốc Sài Gòn Thương Tín
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn
SD2,CTCP Sông Đà 2
SD3,CTCP Sông Đà 3
SD4,CTCP Sông Đà 4
SD5,CTCP Sông Đà 5
SD6,CTCP Sông Đà 6
SD7,CTCP Sông Đà 7
SD8,CTCP Sông Đà 8
SD9,CTCP Sông Đà 9
SDA,CTCP Simco Sông Đà
SDC,CTCP Tư vấn Sông Đà
SDD,CTCP Đầu tư và Xây lắp Sông Đà
SDG,CTCP Sadico Cần Thơ
SDK,CTCP Cơ khí Luyện kim
SDN,CTCP Sơn Đồng Nai
SDP,CTCP SDP
SDT,CTCP Sông Đà 10
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà
SDV,CTCP Dịch vụ Sonadezi
SDY,CTCP Xi măng Sông Đà Yaly
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam
SEP,CTCP Tổng Công ty Thương mại Quảng Trị
SFC,CTCP Nhiên liệu Sài Gòn
SFG,CTCP Phân Bón Miền Nam
SFI,CTCP Đại lý Vận tải SAFI
SFN,CTCP Dệt lưới Sài Gòn
SGB,Ngân hàng TMCP Sài Gòn Công Thương
SGC,CTCP Xuất nhập khẩu Sa Giang
SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh
SGH,CTCP Khách sạn Sài Gòn
SGI,CTCP Đầu tư SGI Holdings
SGN,CTCP Phục vụ Mặt đất Sài Gòn
SGP,CTCP Cảng Sài Gòn
SGR,CTCP Tổng CTCP Địa ốc Sài Gòn
SGS,CTCP Vận tải biển Sài Gòn
SGT,CTCP Công nghệ Viễn Thông Sài Gòn
SHA,CTCP Sơn Hà Sài Gòn
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội
SHC,CTCP Hàng hải Sài Gòn
SHE,CTCP Phát triển Năng lượng Sơn Hà
SHI,CTCP Quốc tế Sơn Hà
SHN,CTCP Đầu tư Tổng hợp Hà Nội
SHP,CTCP Thủy điện Miền Nam
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội
SID,CTCP Đầu tư Phát triển Sài Gòn Co.op
SIG,CTCP Đầu tư và Thương mại Sông Đà
SII,CTCP Hạ tầng Nước Sài Gòn
SIP,CTCP Đầu tư Sài Gòn VRG
SIV,CTCP SIVICO
SJ1,CTCP Nông nghiệp Hùng Hậu
SJD,CTCP Thủy điện Cần Đơn
SJE,CTCP Sông Đà 11
SJF,CTCP Đầu tư Sao Thái Dương
SJG,Tổng Công ty Sông Đà - CTCP
SJM,CTCP Sunspace Holdings
SJS,CTCP SJ Group
SKG,CTCP Tàu cao tốc Superdong - Kiên Giang
